"","money"
"738","The lead singer of the alternative rock band Modest Mouse was sued Wednesday in a Portland court for nearly $1 million over a traffic accident last year."
"739","Michael Flynn's plea of guilty on Friday to lying to the Federal Bureau of Investigation made him the fourth person known to be charged in a U.S. Justice Department investigation of ties between President Donald Trump's 2016 election campaign and ..."
"740","A German court ruled on Wednesday that a 96-year-old German known as the ""bookkeeper of Auschwitz"" was fit to go to prison, rejecting his plea for the sentence to be suspended."
"741","Energy ministers from both Saudi Arabia and the United Arab Emirates dodged questions Tuesday about whether OPEC will extend the cartel's oil production cuts, saying the decision will come at a planned meeting in Vienna later this week."
"742","FIFA’s battered reputation is affecting its sponsorship program for next year’s World Cup. Several high-value slots remain empty with only six months to go."
"743","Former Association of Southeast Asian Nations Secretary-General Surin Pitsuwan has died in Thailand. He was 68."
"744","Scientists say they've unearthed fossil remains of a sea cow that lived in the shallow waters off Southern California's Channel Islands some 25 million years ago."
"745","Christine Wade found a haven in the tent she shared with six children, pitched in an asphalt parking lot."
"746","An influential caucus of United Auto Workers leaders on Thursday nominated a regional director from Missouri to become the union's next president."
"747","The Devils acquired defenseman Sami Vatanen for Henrique, a center who scored 20 or more goals three times since joining the team in 2011."
"748","French oil and gas company Total said on Thursday that production had resumed gradually at its 338,000 barrels-per-day refinery and petrochemical platform in Antwerp, Belgium after a $1 billion (&#163;0.74 billion) upgrade."
"749","Turkish prosecutors said on Thursday they were investigating allegations that President Tayyip Erdogan's family moved millions of dollars abroad to avoid taxes, saying there were doubts about the authenticity of documents behind the claims."
"750","From the White House and the Eiffel Tower to butterflies and wedding cakes, a Polish company can make any kind of blown-glass Christmas tree decorations that clients fancy."
"751","President Tayyip Erdogan dismissed as lies accusations by Turkey's main opposition party that his family has moved millions of dollars into foreign bank accounts to avoid taxes."
"752","Tunisia were handed a relatively easy passage to their fifth World Cup but they went through the African preliminaries with a proficiency that augurs well for next year's finals in Russia."
"753","Kuwaiti budget carrier Jazeera Airways is likely to place an aircraft order next year to expand and replace a fleet of around 15 jets, its chief executive said on Wednesday."
"754","China's top steel producing city of Tangshan has lifted emergency measures to tackle a recent three-day bout of heavy air pollution, the city government said in a statement on Wednesday."
"755","Uber Technologies Inc's [UBER.UL] quarterly losses widened, a source familiar with the matter told Reuters on Tuesday, as the ride-hailing company wades through legal troubles and faces regulatory scrutiny across the globe."
"756","The Trump administration is launching an investigation into Chinese imports, deploying trade-policy tools the United States hasn't used for more than a quarter century in a move likely to raise tensions with Beijing."
"757","An El Salvador court on Tuesday ruled in a civil case that former President Mauricio Funes and one of his sons had illegally enriched themselves and ordered them to pay nearly $420,000 in restitution to the government, a prosecutor said. "
"758","BlackRock Inc on Tuesday said it had agreed to buy the asset management business of Mexico's Citibanamex, a subsidiary of Citigroup Inc, in a sign of the growth potential the world's largest asset management sees in the country."
"759","Australian rock legend and AC/DC co-founder Malcolm Young was remembered at a private funeral in Sydney on Tuesday attended by family, friends and fellow musicians. "
"760","The number of new office developments in London is falling as higher construction costs and uncertainty over Brexit lead builders to delay new schemes, a closely-watched industry survey showed on Tuesday."
"761","Fight for the Future, a scrappy 10-person nonprofit, has helped lead the uproar against changes to internet rules, including hundreds of protests on Thursday."
"762","He led the network’s highly profitable “Today” show for more than 20 years. Now, the show is in trouble — and the news division is under attack."
"763","With the Hudson River on the West and Central Park on the East, the West 70s appeal equally to tourists and residents looking for green space in the city."
"764","Progress has been slow finding full-time work for teachers in the pool known as the Absent Teacher Reserve, who are caught in a sort of educational limbo."
"765","“The president stole your land,” Patagonia wrote on its website after Mr. Trump cut about two million acres from Bear Ears and Grand Staircase-Escalante in Utah."
"766","The warning by Ahmed Ali Saleh, an American-trained former military commander, could signal his emergence as a focus of opposition to Houthi rebels."
"767","Two types of New Zealand kiwi birds are a rare bright spot in a mostly grim assessment of global species at risk of extinction."
"768","Transmitting data at one millisecond, which is close to 1,000 percent faster than today’s speed, will force businesses to change the way they currently work."
"769","Uber Technologies Inc's former chief executive and some board members knew of a letter alleging employees had stolen trade secrets, but the document was withheld from a high-stakes lawsuit, a company attorney testified on Wednesday."
"770","Calling it the opportunity of his lifetime, President Donald Trump's pick for health secretary pledged Wednesday to help lower drug prices and said he'd carry out the Obama-era health law his boss has been unable to erase."
"771","Authorities in India are trying to figure out how workers will scale the Taj Mahal's majestic but delicate dome as they complete the first thorough cleaning of the World Heritage site since it was built 369 years ago."
"772","Russia's doping affair should now be considered closed after the country was banned from the Pyeongchang 2018 Olympics, with only some invited athletes allowed to take part, IOC President Thomas Bach said on Tuesday."
"773","The high-profile attendance of the leaders of Apple and Google at a Chinese conference promoting Beijing's vision of a censored internet highlights the dilemma for Western tech companies trying to expand in an increasingly lucrative but restricted..."
"774","A Saudi-led coalition launched air strikes on Yemen's capital, Sanaa, local media said, lending support to former Yemeni president Ali Abdullah Saleh after he signalled he was abandoning his support of the Iran-aligned Houthis - a shift that could..."
"775","A massive wildfire in southern Utah this summer uncovered scattered underground bunkers stocked with guns, grenades and food that were illegally built in the wilderness, authorities said Thursday."
"776","Oil futures rose on Friday after OPEC and other major producers agreed to extend their production curbs in a widely expected move aimed at ending a persistent glut in global supplies. "
"777","In the six months since it began, NYC Ferry has been more popular than forecast, luring some commuters from the crowded and delay-plagued subway."
"778","Britain's major supermarkets sought to reassure smokers on Wednesday that the collapse of Palmer &amp; Harvey (P&amp;H), the UK's biggest tobacco distributor, would not lead to shortages of cigarettes."
"779","A Saudi-led coalition stepped up air strikes on Yemen's Houthis on Wednesday as the Iran-allied armed movement tightened its grip on Sanaa a day after the son of slain former president Ali Abdullah Saleh vowed revenge for his father's death."
"780","Mayor Sadiq Khan wants to lessen the embrace of single-use plastic water bottles, many of which are never recycled."
"781","Selwyn Allen, a longtime carpenter, fell behind on his rent while fighting bladder cancer. Now he’s seeking to make a late-in-life career change."
"782","Arby's owner Roark Capital Group said on Tuesday it would buy Buffalo Wild Wings Inc for $2.4 billion, adding to its growing portfolio of U.S. restaurants after a bruising proxy fight over the direction of the chicken wing chain."
"783","Dragon Inc, which is looking to raise more than $400 million in what would be the world's largest initial coin offering (ICO), is betting its focus on Asia's booming gambling industry can lure investors despite mounting concerns over a bubble form..."
"784","In the 29 years that towboat captain Joe Gray has worked flotillas of barges up and down the Ohio River, he has witnessed the decline at the heart of industrial America in what is known as the country's Rust Belt."
"785","Real Madrid failed to take advantage of La Liga leaders' Barcelona's 2-2 draw with Celta Vigo on Saturday as they were held to a goalless draw at Athletic Bilbao, while Atletico Madrid profited by beating Real Sociedad 2-1."
"786","Congress on Thursday passed a stopgap spending bill to prevent a government shutdown this weekend and buy time for challenging talks on a wide range of unfinished business on Capitol Hill. The shutdown reprieve came as all sides issued optimistic ..."
"787","It won't go down as the best goal of Romelu Lukaku's first season at Manchester United. It might prove to be one of the most significant."
"788","One of Eastern Europe&#8217;s most prolific cyber criminals has been arrested in a joint operation involving Belarus, Germany and the United States that aimed to dismantle a vast computer network used to carry out financial scams, officials said o..."
"789","The decision was a victory for the administration after its mixed success before the court over the summer, when justices considered and later dismissed disputes over the second version."
"790","The Premier League has regained its swagger: England is a force again in European football, and it is Germany in decline."
"791","Nikolaos Bakatselos, chief executive of Pyramis, one of Greece's last surviving stainless steel sink makers, says he can hardly keep up with new orders. But fewer than ever are going into Greek kitchens."
"792","A lawyer who spent six months on the run after pleading guilty in a $500 million Social Security fraud scheme was being flown back to Kentucky on Tuesday after he was caught outside a Pizza Hut in Honduras."
"793","Former Yemeni president Ali Abdullah Saleh said on Saturday he was ready for a ""new page"" in ties with the Saudi-led coalition fighting in Yemen if it stopped attacks on his country, in a move that could pave the way to end nearly three years of w..."
"794","Nepalis began voting in the final round of parliamentary elections on Thursday, a key step to complete a near decade-long democratic transition after the abolition of the centuries-old monarchy and the end of a civil war against Maoist guerrillas."
"795","What are your memories of Johnny Hallyday? Was his music the soundtrack of your youth in France or elsewhere?"
"796","The places with the most opportunity used to attract the most new residents, in a cycle of fast-growing cities and rising prosperity. But no more."
"797","A last-minute scramble to shore up support from wavering Republican senators injected significant changes in several areas of the bill."
"798","China's aviation authority has suspended all flights from the Indonesian holiday island of Bali to Chinese cities until the threat of volcanic ash clears, the state-run People's Daily newspaper reported on Monday. "
"799","When Rob Spiro left San Francisco to settle in France with his wife and kid in 2016, the family chose a mid-sized city on France's west coast over Paris' burgeoning start-up scene."
"800","Interior Secretary Ryan Zinke on Tuesday accused outdoor retailer Patagonia of lying when it said that President Donald Trump ""stole your land"" by shrinking two national monuments in Utah by some 2 million acres."
"801","Bill O’Reilly has said harassment allegations that led to his ouster at Fox News have no merit. One woman says that violates the conditions of their settlement."
"802","A vast international experiment designed to demonstrate that nuclear fusion can be a viable source of energy is halfway toward completion, the organization behind the project said Wednesday."
"803","Argentina's navy said Thursday that it is no longer looking for survivors among the 44 sailors aboard a submarine missing for 15 days, though a multinational operation will continue searching for the vessel."
"804","For more than a century, floods were a rite of spring for cities up and down the nation's midsection as snowmelt from the long winter poured into tributaries of the Mississippi River. The problem gradually faded, thanks to flood-control projects a..."
"805","Members of the nation’s new system against graft, inaugurated by the president after several scandals, say they are routinely thwarted by the government."
"806","The U.S. Department of Energy has its share of challenges as it conducts some of the world's most high-tech research, maintains a stockpile of nuclear weapons and cleans up after decades of bomb-making."
"807","The software giant plans to invest billions of dollars in renovating its campus in Redmond, Wash., to create a more urban atmosphere."
"808","The issue of how museums raise their money has resurfaced in the case of the Sacklers, a family of philanthropists whose company developed OxyContin."
"809","A criminal trial that has chilled relations between the U.S. and one of its important allies, Turkey, began in a New York courtroom over the past week with testimony by a once high-flying gold trader who claimed to have paid millions of dollars in..."
"810","India's government says it plans to phase out imports of a dirty fuel known as petroleum coke, or ""petcoke,"" after an Associated Press investigation found U.S. oil refineries are exporting vast quantities of the product to India."
"811","The president’s endorsement of a fringe far-right group undermines our country — and the special relationship."
"812","Skeptics said the appointment at the state-owned oil company was part of a move by the president to consolidate control over the industry."
"813","The former president of Colombia's soccer federation concluded South America's three members of the FIFA executive committee during the 2010 vote that selected Qatar over the United States to host the 2022 World Cup were the sport's most corrupt p..."
"814","Kevin Kleinman, a trader at Watchhimtrade.com, listens to music on Pandora every morning as he executes trades worth millions of dollars. But he will not bet a dime on the music streaming company."
"815","No fuel shipments have reached Yemen's largest port for a month, a Reuters analysis of port and ship tracking data shows, as a Saudi Arabian-led blockade on the war-torn country tightens despite international calls for the siege to end."
"816","Here’s what you need to know at the end of the day."
"817","The new acting head of the U.S. consumer finance watchdog is reviewing whether Wells Fargo &amp; Co should pay tens of millions of dollars over alleged mortgage lending abuse, according to three sources familiar with the dispute."
"818","U.S. President Donald Trump called for Saudi Arabia on Wednesday to immediately allow humanitarian aid to reach the Yemeni people, suggesting Washington had run out patience with a Saudi-led blockade that has been condemned by relief organizations..."
"819","Here are some of the top differences that must be resolved before the legislation can be signed into law."
"820","When the members of the rock band U2 were just young Irish lads, they made a pledge to each other that has remained steadfast throughout their decades-long run as rock stars. But frontman Bono said the band is now willing to break that promise in ..."
"821","A video did the rounds on social media last week showing Manchester City coach Pep Guardiola giving Raheem Sterling a clinic during a training session about what his body position should be when receiving the ball, about what his next movement sho..."
"822","When Zhu Chenxia bought a flat early last year from Lei Yarong in the up-market Nanshan district of China's southern metropolis of Shenzhen, the two women drew up three purchase agreements to cover the deal."
"823","The president plans to repeal protections on as much as two million acres of public land in Utah."
"824","President Donald Trump on Wednesday called on Saudi Arabia to end its Yemen blockade immediately, citing humanitarian concerns."
"825","The U.S. State Department has certified that the Honduran government has been fighting corruption and supporting human rights, clearing the way for Honduras to receive millions of dollars in U.S. aid, a document seen by Reuters showed."
"826","French video game producer Ubisoft said on Thursday it was delaying the release of three games and lowering its 2017/18 sales goals while raising its targeted profit margin."
"827","Yemeni rebel forces on Wednesday dispersed a protest staged by dozens of women in the capital, Sanaa, demanding the body of slain former President Ali Abdullah Saleh so they could hold a funeral before his burial."
"828","Washington state sued the ride-hailing company Uber on Tuesday, saying it broke state law when it failed to notify more than 10,000 drivers that their personal information was accessed as part of a major data breach."
"829","A Senate panel on Tuesday approved legislation that would provide banks and credit unions with relief from some of the stricter regulatory requirements put in place after the 2008 financial crisis."
"830","Gulati, the president of the federation, said he would not seek a fourth term in the election in February."
"831","The U.S. State Department has certified that the Honduran government has been fighting corruption and supporting human rights, clearing the way for Honduras to receive millions of dollars in U.S. aid, a document seen by Reuters showed."
"832","A new lawsuit says the 11 men on Nebraska's death row cannot be executed because a voter referendum backed by Governor Pete Ricketts to overturn a 2015 repeal of capital punishment failed to restore their death sentences."
"833","In a Dec. 2 story about the trial of former executives and sales representatives at the truck stop chain controlled by the family of Cleveland Browns owner Jimmy Haslam and Tennessee Gov. Bill Haslam , The Associated Press misspelled the last name..."
"834","Britain's banks all avoided bills for more capital in annual stress tests for the first time since 2014, but the Bank of England warned of pain ahead if there is no Brexit deal and said the country's current account deficit posed a big risk."
"835","A Turkish-Iranian gold trader testified at a New York trial Wednesday that he paid over $50 million in bribes to Turkey's finance minister in 2012 to overcome a banker's fears he was too well-known in Turkey to launder Iranian money in violation o..."
"836","An erupting volcano with a deadly history on Indonesia's Bali, one of the world's most popular resort islands, has spread drifting ash 7,600 meters (4.7 miles) into the atmosphere and closed the island's international airport for a third day Wedne..."
"837","Broadcom Ltd on Wednesday reported a better-than-expected quarterly profit and boosted its dividend by 72 percent, days after the chipmaker took its $103 billion (&#163;77 billion) bid for Qualcomm Inc hostile."
"838","An opposition alliance in Mexico wants to launch a universal basic wage to combat the poverty that blights the lives of almost half the population, touting an experimental reform discussed globally as a solution to job losses from automation."
"839","Wrapping up one of Russia's most high-profile trials of the year, a former economic development minister charged with bribery on Thursday accused an oil executive of setting him up and apologized for ""turning back on other people's misfortunes."""
"840","Silicon Valley investor Shervin Pishevar, known for his early bet on Uber, said on Tuesday he was taking a leave of absence from his venture capital firm and the startup he co-founded to fight allegations of sexual harassment."
"841","Alphabet Inc's Google launched a stripped-down version of its Android software in India on Tuesday, as it attempts to woo millions of basic phone users in the fast-growing wireless services market."
"842","French retailers Carrefour and Fnac Darty will team up for purchases of domestic appliances and consumer electronics in France as Carrefour seeks to cut costs and boost earnings, the companies said on Tuesday."
"843","The special counsel investigating Russian meddling in the 2016 U.S. presidential election on Monday accused President Donald Trump's former campaign manager, Paul Manafort, of working with a Russian colleague to draft an opinion piece about his po..."
"844","A murky plot to extort money from delivery giant DHL Express has many Germans on edge during the busy holiday shipping season. Packages sent to a police station and a government office produced at least two false alarms Monday as a hotline buzzed ..."
"845","The ranting of the American president dashed the good cheer from a royal Anglo-American engagement."
"846","Activist investor Carl Icahn has stepped up his attack on SandRidge Energy Inc's proposal to buy a rival oil-and-gas producer, taking aim at the company's top executives and calling for a release of records on the deal and executive pay, according..."
"847","The Saudi-led military coalition must fully lift its blockade on Yemen, where seven or eight million are ""right on the brink of famine"", U.N. humanitarian chief Mark Lowcock said on Friday, but he declined to say if maintaining such a blockade was..."
"848","Chinese exports to Cuba have plunged this year in the latest sign of a worsening in the Communist-run island's financial situation, which began in 2015 with the economic crisis in its top trading partner Venezuela."
"849","UPS says some package deliveries are being delayed because of an unexpected flood of orders from online shoppers after Thanksgiving."
"850","The head of an eastern, parallel branch of Libya's central bank said he may order more banknotes from Russia, in an effort to ease liquidity problems before a currency devaluation he hopes to work out with the country's internationally recognised ..."
"851","Melinda and Joel Loshak raised two children in a stylish ranch house in Houston's upscale Meyerland neighborhood and planned to retire there. Now they are hoping the government will knock it down."
"852","Andrew White, son of the late former Democratic Texas Gov. Mark White, kicked off his longshot bid for governor Thursday, saying his mix of business-minded, conservative Democratic values can upend well-funded Republican incumbent Greg Abbott."
"853","Anne-Imelda Radice, the museum’s executive director, is planning to retire early in 2018, the museum said."
"854","The nation's biggest health insurer is spending nearly $5 billion to buy hundreds of clinics, just three days after rival Aetna announced a bigger tie up with CVS Health Corp."
"855","The U.S. Department of Labor on Monday proposed eliminating an  Obama administration rule that allowed restaurant employees to keep their tips instead of being forced to share them with non-tipped workers, saying the rule had contributed to pay di..."
"856","Lax oversight of inmates at a halfway house in Oklahoma City, including one inmate whose charred remains were discovered in a burned vehicle last month, led state prison officials to cancel its contract with the facility's operator, the head of Ok..."
"857","Macy's Inc said on Friday it had a strong start to the holiday shopping season and would hire an additional 7,000 temporary workers for its stores to deal with heavy customer numbers in the run up to Christmas."
"858","Italian cable maker Prysmian is looking at three more M&amp;A targets, its CEO Valerio Battista said on Tuesday, the day after announcing a $3 billion (&#163;2.23 billion)deal to buy U.S. rival General Cable."
"859","Ford Motor Co. is promising to roll out more than 50 new vehicles in China over the next eight years including 15 powered by electricity as it restructures its business and responds to a government push for cleaner air by making all new vehicles e..."
"860","Austria's Constitutional Court has ruled that same-sex couples will be allowed to marry by the beginning of 2019, bringing the country in line with more than a dozen other western European nations."
"861","The Honduran opposition battling President Juan Orlando Hernandez over a disputed presidential election proposed on Tuesday that a run-off be held if authorities would not recount the entire vote."
"862","Derrick Rose ended his self-imposed separation from the Cavaliers."
"863","Casinos in the world's biggest gambling hub of Macau posted a 22.6 percent revenue jump in November from a year earlier, marking the sixteenth consecutive month of growth, government data showed on Friday."
"864","Malaysian Prime Minister Najib Razak called on Muslims worldwide to strongly oppose any recognition of Jerusalem as Israel's capital, as he rallied his party ahead of a tough election due next year."
"865","A California state judge has dismissed class action claims accusing Alphabet Inc's Google of paying female employees less than men and giving them fewer opportunities for promotions."
"866","Recent commercial real estate transactions in New York."
"867","The country deserves a break from civil war, cholera, famine and the American-supported bombing by Saudi Arabia."
"868","Imagine Dragons and The Killers will pay tribute to the victims of the deadliest mass shooting in modern U.S. history when they headline a concert Friday in Las Vegas, the city that saw them rise to stardom."
"869","A coalition of nearly 40 advocacy groups said Wednesday they're concerned about the Trump administration's commitment to the global fight against AIDS so they're urging senior members of Congress to make sure money for key prevention programs isn'..."
"870","Britain's ""bad bank"", set up to wind down the assets of two failed lenders, expects to complete a sale of mortgages by the second quarter of 2018, its CEO Ian Hares said on Thursday, in a deal set to return almost 5 billion pounds to the taxpayer."
"871","A 41-year-old Swedish man was convicted of rape and sentenced to 10 years in prison Thursday for coercing young teenagers in Canada, Britain and the United States to perform sexual acts in front of webcams by threatening them or their families."
"872","China will not export its political system, President Xi Jinping told a forum for foreign political groups on Friday, as the ruling Communist Party seeks to boost its global image and take a more assertive international role."
"873","British lawmakers are investigating whether Moscow influenced the 2016 referendum. The social media giants have promised information within weeks."
"874","Australian tourists who complained about being stranded on tropical Bali when volcanic ash closed its airport have been roasted online as out of touch with the hardships faced by Indonesians forced to flee their homes."
"875","An amateur metal worker in Cohoes, N.Y., was inspired by the television series when he caused a fire that raged across three city blocks, officials said."
"876","Andy Rubin, a former executive at Alphabet Inc's Google known for co-founding the Android mobile operating system, is on a leave of absence from his smartphone startup Essential, the company said on Wednesday."
"877","New England shrimp will be unavailable to seafood consumers for at least another year as the fishery struggles with environmental changes, regulators decided on Wednesday."
"878","Russia's U.N. envoy clashed with the world body's humanitarian chief as well as U.S. and other Western diplomats on Wednesday over extending the delivery of humanitarian aid across borders and conflict lines in Syria which has helped thousands of ..."
"879","Everton have named former England boss Sam Allardyce as their manager on an 18-month contract, the Premier League club said on Thursday."
"880","The company has increased fan engagement, but it is looking to change the power units and impose a team spending cap."
"881","If your country's national team has never qualified for the World Cup, they could do worse than appoint Hernan Dario Gomez as coach."
"882","The American government has yet to compensate any of the families of the thousands of civilian casualties from the U.S.-led battle against ISIS. Why?"
"883","Nippon Life Insurance Co [NPNLI.UL], Japan's biggest private sector life insurer, has agreed to buy 24.75 percent of U.S. investment firm TCW Group Inc from U.S. asset manager Carlyle Group LP, the three companies said on Friday."
"884","Millions of people in southern Nepal voted Thursday in the final phase of mostly peaceful elections for members of national and provincial assemblies."
"885","The Hungarian government's recently ended campaign against the influence of Hungarian-American financier George Soros is the ""most successful"" of its ""national consultations"" asking voters for their opinions on different issues, the government spo..."
"886","House Republicans are proposing to revamp federal student loan programs by putting caps on how much students and parents can borrow even as they call for simplifying the application process."
"887","The ""shocking scale"" of violence against women and girls in South Sudan is double the global average, a new study released Wednesday says."
"888","Nomura Holdings Inc is returning to private equity - a move that comes as it seeks more stable income through consulting services and as Japanese firms increasingly look to divest non-core businesses as part of restructuring plans."
"889","Half of Britons support a second vote on whether to leave the European Union and a majority think the government may be paying too much money to the EU to open the way to trade talks, according to a new opinion poll.   "
"890","SWIFT, the global messaging system used to move trillions of dollars each day, warned banks on Wednesday that the threat of digital heists is on the rise as hackers use increasingly sophisticated tools and techniques to launch new attacks."
"891","A coalition of Chilean leftist parties on Thursday challenged presidential contender Alejandro Guillier to clarify his social and economic policies, withholding the outright endorsement sought by the center-left candidate."
"892","Bitcoin surged past $17,000 Thursday as the frenzy surrounding the virtual currency escalated just days before it starts trading on major U.S. exchanges. Bitcoin has gained more than $5,000 in just the past two days."
"893","With a bill like a duck but teeth like a croc's, a swanlike neck and killer claws, a new dinosaur species uncovered by scientists looks like something Dr. Seuss could have dreamed up."
"894","More than 200 countries signed a U.N. resolution in Nairobi on Wednesday to eliminate plastic pollution in the sea, a move some delegates hoped would pave the way to a legally binding treaty."
"895","Nestle is buying Canadian vitamin maker Atrium Innovations for $2.3 billion, expanding its presence in consumer healthcare as it seeks to offset weakness in packaged foods. "
"896","The United States-led international coalition fighting Islamic State estimates that fewer than 3,000 fighters belonging to the hardline Sunni militant group remain in Iraq and Syria, its spokesman said on Tuesday."
"897","Britain's banks may be overstating their ability to stop ""fintech"" firms stealing customers and eating into profits, the Bank of England (BoE) said on Tuesday."
"898","Amazon.com Inc's Australian arm began taking orders on Tuesday, ending speculation about the timing of its launch in the world's No. 12 economy and likely dashing hopes of a holiday boost for struggling brick-and-mortar rivals."
"899","The United Nations called on world powers on Thursday to help arrange the medical evacuation of 500 people, including 167 children, from eastern Ghouta, saying the besieged Damascus suburb has now become a ""humanitarian emergency""."
"900","The Latest on Democrat Richard Cordray's bid for governor (all times local):"
"901","The Latest on Democrat Richard Cordray's bid for governor (all times local):"
"902","Delphi Automotive Plc, which is changing its name to Aptiv Inc, wants to cut the cost of self-driving cars by more than 90 percent to around $5,000 (&#163;3,715) by 2025, according to Chief Executive Officer Kevin Clark."
"903","Aviva expects to generate an extra 3 billion pounds in cash over the next two years and will make acquisitions as well as giving money back to shareholders, it said on Thursday, sending its share price to three-month highs."
"904","The United States has quit negotiations on a voluntary pact to deal with migration because the global approach to the issue was ""simply not compatible with U.S. sovereignty,"" said U.S. Ambassador to the United Nations Nikki Haley. "
"905","A Canadian accused by the United States of helping Russian intelligence agents break into email accounts as part of a massive 2014 breach of Yahoo accounts pleaded guilty on Tuesday, the U.S. Justice Department said."
"906","European cable firm Prysmian is finalising an all-cash binding bid for General Cable which could be worth more than $1.1 billion (&#163;0.81 billion), sources familiar with the matter said.    "
"907","A U.S. jury on Tuesday acquitted accused Islamic militant Ahmed Abu Khatallah of the most serious charges he faced in connection with a 2012 attack on a U.S. diplomatic compound in Benghazi, Libya that killed U.S. Ambassador Christopher Stevens an..."
"908","A new lawsuit accuses a lawyer representing hundreds of victims defrauded by Bernard Madoff of cheating her own clients through overbilling, discouraging settlements and having conflicts of interest."
"909","Tuesday: What the tax bill means for California, transplanting Silicon Valley’s magic, the Ventura fire and reaction to our Berkeley housing story."
"910","Venezuela's new oil czar vowed on Tuesday to root out corruption in state oil company PDVSA in a combative two-minute speech during his inauguration, without offering clues as to how he plans to handle the company's crippling debt burden."
"911","The warning from our guide made clear that this ""forest walk"" would be anything but a leisurely stroll."
"912","Some early Flipkart [IPO-FLPK.N] investors, employees and ex-employees are selling their shares in the Indian e-commerce firm as part of a $2.5 billion investment deal agreed with Japan's SoftBank Group, two people familiar with the matter said on..."
"913","""Clash of Clans"" maker Supercell will focus on a few mobile games and kill off those which it does not expect to become a top-10 global hit, its chief executive said on Friday."
"914","We all lose because of the biases of Wall Street and Silicon Valley."
"915","Philippine prosecutors have recommended an extremist leader's widow to be charged with inciting rebellion for allegedly posting messages online calling for fighters to join a bloody Islamic State group-linked siege in the country's south, a Depart..."
"916","Global car brands and Chinese authorities alike embrace iFlyTek’s voice recognition know-how, illustrating the dystopian possibilities behind the technology."
"917","Puerto Rico would get substantial debt relief and other new aid to help it recover from destruction inflicted by Hurricanes Irma and Maria in September, under legislation unveiled on Tuesday by leading liberals in the U.S. Senate."
"918","The drastic cuts to the protected area of the national monument in Utah are expected to touch off a legal battle that could alter the course of American land conservation."
"919","The boom in U.S. recreational vehicle sales keeps on rolling, thanks to a strong economy and a wave of retiring Baby Boomers and others filled with wanderlust."
"920","Abortion opponents in Illinois filed a lawsuit on Thursday to block a recently approved law expanding state-funded coverage of abortions for low-income Medicaid recipients and state workers."
"921","The mayor of a small town in western Germany known for pursuing liberal migrant policies was stabbed in the neck at a kebab shop on Monday evening and seriously hurt in an attack that officials suspected was politically motivated."
"922","The Latest on Kansas' plan to have the largest private prison operator in the U.S. build a new prison for the state (all times local):"
"923","A former top Chinese general under investigation for major corruption has killed himself, official media reported Tuesday, denouncing his death as a ""despicable"" act to escape punishment."
"924","Humanitarian crises around the world will worsen next year with no let-up in African civil wars, near-famines in conflict-ridden regions and the threat of Islamist violence, a Geneva-based think-tank predicted in a report published on Thursday."
"925","The scrutiny comes amid broader concerns that foreign buyers are driving up home prices, leading to a growing number of government restrictions."
"926","Life may be about to get easier for people with rich parents. They can thank the Republicans' tax plans."
"927","Executives from Chinese companies specialising in offering consumers small, easy-to-get loans became something of a fixture on Wall Street this year."
"928","Executives from Chinese companies specialising in offering consumers small, easy-to-get loans became something of a fixture on Wall Street this year."
"929","U.S. oil refineries that are unable to sell a dirty fuel waste product at home are exporting vast quantities of it to India instead."
"930","“To get out or get a reduced sentence, you need to admit to crimes you haven’t committed,” the prosecution witness in an Iran sanctions case said."
"931","Executives from Chinese companies specialising in offering consumers small, easy-to-get loans became something of a fixture on Wall Street this year."
"932","Cyber Monday was on track to become the biggest-ever internet shopping day in the United States as people snapped up bargains on toys and electronics, with many more buying from their phones."
"933","The Senate is poised to pass its tax bill but it still needs to be reconciled with the House-passed legislation, which differs in some significant ways from the Senate plan."
"934","The Latest on the nomination of Alex Azar to be health secretary (all times local):"
"935","The Czech center-left government of Prime Minister Bohuslav Sobotka stepped down on Wednesday, making way for billionaire Andrej Babis, who won an election last month, to take power in time for an EU summit in December."
"936","After the league put together a plan to contribute to groups that aid African-American communities, Eric Reid of the 49ers said the league was “trying to buy an end to the protests.”"
"937","U.S. oil refineries that are unable to sell a dirty fuel waste product at home are exporting vast quantities of it to India instead."
"938","AT&amp;T Inc and Time Warner Inc argued on Tuesday that their proposed $85.4 billion merger was ""pro-competitive"" and ""pro-consumer"", as they sought to refute U.S. Justice Department allegations that the deal breaks antitrust law."
"939","The United States threatened on Tuesday to take further action against the South Sudan government if it does not end violence and allow United Nations peacekeepers to do their job, but U.N. sanctions are unlikely as Russia has warned against such ..."
"940","Industrial-automation systems maker Emerson Electric Co said on Tuesday it abandoned its bid for Rockwell Automation Inc after several rejections, and instead will pursue bolt-on acquisitions as originally planned."
"941","We look at the messy public fight for control of the government’s top consumer financial watchdog and at the deregulatory pressures it faces."
"942","The Japanese conglomerate began a tender offer at a valuation of $48 billion, far below the ride-hailing company’s last valuation of nearly $70 billion."
"943","When U.S. entrepreneur Bharath Rao looked around for the best place to raise money for his crypto-currency derivatives trading business, the United States did not make his list. Instead he chose the East African island nation Seychelles to sell th..."
"944","When U.S. entrepreneur Bharath Rao looked around for the best place to raise money for his crypto-currency derivatives trading business, the United States did not make his list. Instead he chose the East African island nation Seychelles to sell th..."
"945","Three new reports suggest that artificial intelligence can probably do less right now than you think. But by one estimation, up to a third of American workers will have to switch jobs by 2030 largely because of it."
